Date : 2021-09-21 07:40:22
Directory : /home/nsmyth/Dev/Alkemio/client-web/src
Total : 377 files,  35436 codes, 3414 comments, 3685 blanks, all 42535 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |        261 |     19,143 |        219 |      2,149 |     21,511 |
| TypeScript       |        102 |     14,224 |      2,860 |      1,075 |     18,159 |
| SCSS             |         10 |      1,375 |        335 |        453 |      2,163 |
| JSON             |          1 |        641 |          0 |          1 |        642 |
| GraphQL          |          2 |         50 |          0 |          7 |         57 |
| CSS              |          1 |          3 |          0 |          0 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        377 |     35,436 |      3,414 |      3,685 |     42,535 |
| components                                                                                                                  |        173 |     12,481 |        184 |      1,370 |     14,035 |
| components/ActivityPanel                                                                                                    |          4 |        187 |          1 |         21 |        209 |
| components/Admin                                                                                                            |         48 |      3,318 |         29 |        370 |      3,717 |
| components/Admin/Authorization                                                                                              |          3 |        178 |          1 |         26 |        205 |
| components/Admin/Common                                                                                                     |         18 |        827 |          4 |         83 |        914 |
| components/Admin/Community                                                                                                  |          7 |        678 |          0 |         74 |        752 |
| components/Admin/Group                                                                                                      |          4 |        339 |          2 |         38 |        379 |
| components/Admin/Organization                                                                                               |          4 |        424 |          8 |         51 |        483 |
| components/Admin/User                                                                                                       |          2 |         64 |         14 |         18 |         96 |
| components/Authentication                                                                                                   |          9 |        465 |          2 |         75 |        542 |
| components/Authentication/Kratos                                                                                            |          8 |        260 |          1 |         50 |        311 |
| components/Challenge                                                                                                        |          3 |        186 |          0 |         16 |        202 |
| components/Community                                                                                                        |          6 |        498 |          1 |         42 |        541 |
| components/ContextEdit                                                                                                      |          1 |        109 |          1 |         11 |        121 |
| components/Ecoverse                                                                                                         |          5 |        618 |          5 |         46 |        669 |
| components/NavRings                                                                                                         |          1 |         83 |          0 |         12 |         95 |
| components/Opportunity                                                                                                      |          6 |        854 |          0 |         77 |        931 |
| components/Organizations                                                                                                    |          1 |        195 |          0 |         13 |        208 |
| components/ProfileForm                                                                                                      |          1 |        129 |          2 |         12 |        143 |
| components/Project                                                                                                          |          1 |         18 |          0 |          2 |         20 |
| components/User                                                                                                             |          2 |        193 |          5 |         16 |        214 |
| components/UserProfile                                                                                                      |          4 |        500 |          7 |         40 |        547 |
| components/composite                                                                                                        |         15 |      1,129 |         27 |        114 |      1,270 |
| components/composite/common                                                                                                 |          5 |        361 |         24 |         59 |        444 |
| components/composite/common/ApplicationButton                                                                               |          2 |        250 |         24 |         41 |        315 |
| components/composite/common/OrganizationVerifiedState                                                                       |          1 |         42 |          0 |          7 |         49 |
| components/composite/common/SettingsButton                                                                                  |          1 |         30 |          0 |          5 |         35 |
| components/composite/common/VerifiedStatus                                                                                  |          1 |         39 |          0 |          6 |         45 |
| components/composite/forms                                                                                                  |          1 |         52 |          0 |          4 |         56 |
